class, interaction
nowin,F21_f & F10_t
nowin,F5_f & F6_f & F11_f & F21_f & F32_t & F24_t
nowin,F6_f & F11_f & F21_f & F33_t & F34_t
nowin,F11_f & F21_f & F33_t & F34_t & F13_g
nowin,F21_f & F33_t & F34_t & F7_t
nowin,F33_t & F7_t & F5_t & F18_f
nowin,F6_f & F21_f & F7_f & F35_f & F1_f & F15_n & F34_t & F31_f
nowin,F2_f & F17_f & F16_t
nowin,F17_f & F33_t & F21_f & F4_t
nowin,F6_f & F21_f & F35_f & F1_f & F15_n & F31_f
nowin,F21_f & F33_t & F7_t
won,F21_t
won,F10_f & F33_f & F32_f & F23_f & F35_t & F15_n & F12_f
