class, interaction
nowin,F21_f & F10_t
nowin,F5_f & F6_f & F11_f & F21_f & F32_t & F7_t
nowin,F6_f & F11_f & F21_f & F32_t & F24_t
nowin,F11_f & F21_f & F33_t & F34_t & F13_g
nowin,F21_f & F34_t & F35_f & F1_f & F6_f & F15_n & F31_f
nowin,F1_f & F6_f & F7_f & F21_f & F33_t & F27_t
nowin,F6_f & F7_f & F21_f & F35_f & F1_f & F18_t & F15_n
nowin,F1_f & F18_t & F15_n & F33_t & F10_f & F7_t & F9_t
nowin,F15_n & F34_f & F21_f & F27_t
nowin,F21_f & F33_t & F7_t
nowin,F33_t & F21_f & F18_t & F34_t
nowin,F21_f & F17_f & F33_t & F16_t
won,F21_t
won,F10_f & F33_f & F32_f & F35_t & F23_f & F15_n & F12_f
won,F33_f & F32_f & F23_f & F2_f & F10_f & F6_t
won,F32_f & F23_f & F2_f & F10_f & F7_f & F4_f & F33_f & F5_f & F15_w
won,F32_f & F23_f & F10_f & F4_f & F33_f & F15_w
won,F10_f & F4_f & F33_f & F35_t & F15_n & F17_t
