class, interaction
e,odor_n & gill-size_b & ring-number_o
e,gill-size_b & ring-number_o & stalk-root_c
e,habitat_w
e,population_n
e,stalk-root_r
e,ring-type_f
e,gill-spacing_w & gill-size_b
e,cap-color_n & population_y
e,cap-surface_f & population_v & gill-spacing_w & gill-color_w
e,population_v & gill-spacing_w & gill-color_w
e,gill-spacing_w & stalk-shape_t
e,stalk-surface-above-ring_s & stalk-surface-below-ring_s & stalk-color-above-ring_w & stalk-color-below-ring_w & bruises?_f & cap-surface_f & odor_n
p,odor_f
p,gill-color_b
p,odor_p
p,odor_c
p,spore-print-color_r
p,odor_m
p,stalk-surface-below-ring_y & gill-size_n
