rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__min_samples_leaf,params,split0_test_score,split0_train_score
1,0.9761904761904762,0.0,1.0,0.0,0.0785515308380127,0.0,0.00429987907409668,0.0,1,100,"{'model__learning_rate': 1, 'model__min_samples_leaf': 100}",0.9761904761904762,1.0
2,0.975609756097561,0.0,1.0,0.0,0.44490861892700195,0.0,0.005131721496582031,0.0,0.1,20,"{'model__learning_rate': 0.1, 'model__min_samples_leaf': 20}",0.975609756097561,1.0
2,0.975609756097561,0.0,0.9971988795518207,0.0,0.09447336196899414,0.0,0.005011558532714844,0.0,0.1,100,"{'model__learning_rate': 0.1, 'model__min_samples_leaf': 100}",0.975609756097561,0.9971988795518207
4,0.9647058823529412,0.0,0.9408450704225352,0.0,0.4831540584564209,0.0,0.0035533905029296875,0.0,0.001,20,"{'model__learning_rate': 0.001, 'model__min_samples_leaf': 20}",0.9647058823529412,0.9408450704225352
5,0.963855421686747,0.0,1.0,0.0,0.11167740821838379,0.0,0.0034852027893066406,0.0,1,20,"{'model__learning_rate': 1, 'model__min_samples_leaf': 20}",0.963855421686747,1.0
6,0.9523809523809523,0.0,0.9661016949152541,0.0,0.5138332843780518,0.0,0.003681659698486328,0.0,0.01,20,"{'model__learning_rate': 0.01, 'model__min_samples_leaf': 20}",0.9523809523809523,0.9661016949152541
6,0.9523809523809523,0.0,0.9405099150141643,0.0,0.09435462951660156,0.0,0.0041005611419677734,0.0,0.01,100,"{'model__learning_rate': 0.01, 'model__min_samples_leaf': 100}",0.9523809523809523,0.9405099150141643
8,0.8831168831168832,0.0,0.8855421686746988,0.0,0.1442110538482666,0.0,0.0040051937103271484,0.0,0.001,100,"{'model__learning_rate': 0.001, 'model__min_samples_leaf': 100}",0.8831168831168832,0.8855421686746988
9,0.8780487804878048,0.0,1.0,0.0,1.1495239734649658,0.0,0.010795831680297852,0.0,0.001,1,"{'model__learning_rate': 0.001, 'model__min_samples_leaf': 1}",0.8780487804878048,1.0
9,0.8780487804878048,0.0,1.0,0.0,1.0983545780181885,0.0,0.004730224609375,0.0,0.01,1,"{'model__learning_rate': 0.01, 'model__min_samples_leaf': 1}",0.8780487804878048,1.0
9,0.8780487804878048,0.0,1.0,0.0,0.8262119293212891,0.0,0.0047740936279296875,0.0,0.1,1,"{'model__learning_rate': 0.1, 'model__min_samples_leaf': 1}",0.8780487804878048,1.0
9,0.8780487804878048,0.0,1.0,0.0,0.1262803077697754,0.0,0.0037908554077148438,0.0,1,1,"{'model__learning_rate': 1, 'model__min_samples_leaf': 1}",0.8780487804878048,1.0
9,0.8780487804878048,0.0,1.0,0.0,0.042472124099731445,0.0,0.003790616989135742,0.0,10,1,"{'model__learning_rate': 10, 'model__min_samples_leaf': 1}",0.8780487804878048,1.0
14,0.5384615384615384,0.0,0.6666666666666666,0.0,0.032827138900756836,0.0,0.002086639404296875,0.0,10,100,"{'model__learning_rate': 10, 'model__min_samples_leaf': 100}",0.5384615384615384,0.6666666666666666
15,0.0,0.0,0.0,0.0,0.0396883487701416,0.0,0.003488779067993164,0.0,10,20,"{'model__learning_rate': 10, 'model__min_samples_leaf': 20}",0.0,0.0
