id,chr,r6start,r6stop,positive,H3_c12,H3_c14a,H3_c14c,H3_c8,H3K18ac_c12,H3K18ac_c14a,H3K18ac_c14c,H3K18ac_c8,H3K27ac_c12,H3K27ac_c14a,H3K27ac_c14c,H3K27ac_c8,H3K27me3_c12,H3K27me3_c14a,H3K27me3_c14c,H3K36me3_c12,H3K36me3_c14a,H3K36me3_c14c,H3K4me1_c12,H3K4me1_c14a,H3K4me1_c14c,H3K4me1_c8,H3K4me3_c12,H3K4me3_c14a,H3K4me3_c14c,H3K4me3_c8,H3K9ac_c12,H3K9ac_c14a,H3K9ac_c14c,H3K9ac_c8,H4K5ac_c12,H4K5ac_c14a,H4K5ac_c14c,H4K5ac_c8,H4K8ac_c12,H4K8ac_c14a,H4K8ac_c14c,H4K8ac_c8,input_c12,input_c14a,input_c14c,input_c8,wt_H3,wt_H3K18ac,wt_H3K4me1,wt_ZLD,bcd1,bcd2,cad1,D1,da2,dl3,ftz3,gt2,h1,h2,hb1,hb2,hkb1,hkb2,hkb3,kni1,kni2,kr1,kr2,mad2,med2,prdBQ,prdFQ,run1,run2,shn2,shn3,slp1,sna1,sna2,tll1,twi1,twi2,z2
VT0002,chr2L,9410,10052,0,6,10,10,8,5,7,8,9,12,17,11,22,21,9,30,16,87,225,18,8,12,0,18,15,13,8,7,24,5,1,10,7,6,32,5,7,4,1,20,15,15,8,10.95,30.858,111.18,42.78,0,0,0,1.42103,0,1.46536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VT0003,chr2L,11245,11850,0,6,7,6,5,19,10,11,0,4,15,33,7,26,39,18,31,100,267,6,4,10,5,21,26,14,0,5,10,17,0,10,7,4,28,4,7,4,1,13,19,21,11,10.55,55.5,48.144,13.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VT0004,chr2L,12730,13724,0,14,9,14,13,11,9,19,10,1,15,16,0,10,23,31,25,107,203,12,10,19,11,43,44,14,40,13,26,7,7,10,7,3,32,6,3,6,5,19,27,18,7,19,51.06,78.132,3.1,0,0,0,0,0,1.10347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2013
VT0005,chr2L,15507,17836,0,13,17,13,13,19,14,25,10,29,20,20,14,18,29,41,39,23,162,22,23,67,5,42,63,57,72,7,38,67,17,13,7,5,48,6,10,12,2,21,18,20,9,40.15,50.949,140.76,170.376,0,0,0,1.34335,1.22641,1.55161,0,0,0,0,0,0,0,0,0,0,0,1.40716,1.53646,0,1.2486,0,0,0,0,0,0,0,0,0,0,0,0,0
VT0006,chr2L,16836,18924,1,6,6,6,10,13,23,28,10,8,69,68,14,18,34,12,12,7,18,9,39,67,7,16,94,316,44,7,133,354,13,7,7,13,40,7,11,12,4,17,13,17,9,32.1,48.84,140.76,249.24,0,0,1.96369,1.58797,1.22641,1.98438,0,0,0,0,0,0,0,0,0,0,0,1.48812,1.53646,0,1.6266,0,0,0,0,0,0,0,0,0,0,0,0,1.21019
VT0007,chr2L,18031,20238,1,10,9,9,11,12,23,28,7,29,69,68,14,12,34,11,12,43,29,20,46,41,12,30,94,316,44,15,133,354,5,14,6,13,25,7,13,11,4,15,24,17,15,40.35,57.72,138.72,164.92,0,0,1.96369,1.58797,0,1.98438,0,0,0,0,0,0,0,0,0,0,0,1.48812,1.58569,0,1.6266,0,0,0,0,0,0,0,0,0,0,0,0,1.21019
VT0008,chr2L,19241,21468,0,6,8,8,10,11,13,24,7,28,25,30,7,1,11,12,6,28,29,20,56,36,12,30,32,42,0,15,76,140,3,9,7,7,22,7,11,9,3,14,21,14,10,40.35,57.72,138.72,273.42,0,0,1.74793,1.58974,0,1.68454,0,0,0,0,0,0,0,0,0,0,0,0,1.58569,0,1.39544,0,1.0766,0,0,0,0,0,0,0,0,1.2201,0,1.15441
VT0009,chr2L,21327,21958,0,8,10,16,6,7,19,16,0,31,20,8,29,1,27,18,49,0,0,3,31,56,12,0,9,14,0,7,9,17,3,15,6,5,22,6,13,8,0,15,31,15,6,10.9,16.65,33.66,84.32,0,0,1.84276,1.6685,0,1.83739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2556,0,1.18739,0,0,0,0,0,0,0,0,1.2201,0,0
VT0010,chr2L,22647,23043,0,16,20,11,10,34,8,15,0,34,19,19,7,16,20,11,16,33,11,14,23,22,4,21,41,55,32,6,18,20,7,18,13,9,46,10,11,10,1,20,18,23,10,25.15,94.35,67.32,91.14,0,0,0,0.976966,0,1.1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VT0011,chr2L,23791,24839,0,16,16,16,11,13,20,22,11,21,27,18,7,56,35,15,38,27,48,6,7,29,11,7,38,53,40,10,18,29,3,16,6,8,32,11,14,16,4,20,28,23,14,29.85,66.156,35.7,63.86,0,0,0,0,0,0,0,0,0,1.38905,0,0,0,0,0,0,0,1.39779,1.40149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
